id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
429821,Rental unit in Vienna · 1 bedroom · 1 bed · Private half-bath,518644,Michael,,Margareten,48.19369,16.35899,Private room,39,30,1,2019-03-11,0.02,35,90,0,
242287,Rental unit in Vienna · ★4.75 · 1 bedroom · 2 beds · 1 bath,1271221,Familien,,Landstra§e,48.19148,16.39017,Entire home/apt,59,3,213,2023-08-17,1.48,2,273,32,
431055,Condo in Vienna · ★4.98 · Studio · 1 bed · 1.5 baths,2142888,Simon,,Mariahilf,48.19212,16.34966,Entire home/apt,109,91,46,2023-08-16,0.33,2,5,2,
244521,Rental unit in Vienna · ★4.75 · 1 bedroom · 2 beds · 1.5 baths,518644,Michael,,Margareten,48.19446,16.36087,Entire home/apt,65,30,39,2022-12-09,0.27,35,287,1,
244919,Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,647465,Sylvia,,Simmering,48.17691,16.41262,Entire home/apt,65,7,1,2015-02-16,0.01,2,0,0,
247290,Rental unit in Vienna · ★4.50 · 1 bedroom · 3 beds · 1 bath,518644,Michael,,Margareten,48.19554,16.35863,Entire home/apt,62,30,57,2022-06-05,0.39,35,335,0,
247879,Rental unit in Vienna · ★4.76 · 1 bedroom · 1 bed · 1 bath,1280395,Barbara,,Mariahilf,48.19285,16.34503,Entire home/apt,98,2,50,2023-07-14,0.38,3,74,8,
432365,Rental unit in Vienna · ★4.74 · 1 bedroom · 1 bed · 1 bath,2150005,Ramona & Alex,,Landstra§e,48.19306,16.38798,Entire home/apt,64,5,472,2023-09-03,3.44,4,226,54,
435239,Rental unit in Vienna · ★4.50 · 1 bedroom · 3 beds · 1 bath,518644,Michael,,Margareten,48.1935,16.35862,Entire home/apt,67,1,30,2023-05-21,0.32,35,349,6,
435240,Rental unit in Vienna · ★4.51 · 1 bedroom · 3 beds · 1 bath,518644,Michael,,Margareten,48.19532,16.35901,Entire home/apt,65,1,59,2023-08-18,0.62,35,153,15,
251790,Rental unit in Vienna · ★4.92 · 1 bedroom · 1 bed · 1 bath,1266494,Judith,,Leopoldstadt,48.21928,16.38104,Entire home/apt,58,3,125,2023-08-27,0.88,2,172,27,
455314,Rental unit in Vienna · ★4.86 · 1 bedroom · 1 bed · 1 bath,2262994,Christine,,Rudolfsheim-Fnfhaus,48.19983,16.33778,Entire home/apt,76,1,743,2023-09-05,5.44,2,193,71,
252052,Rental unit in Vienna · ★4.84 · 2 bedrooms · 5 beds · 1.5 baths,175131,Ingela,,Neubau,48.20549,16.35443,Entire home/apt,246,7,235,2023-08-27,1.63,15,299,3,
263788,Rental unit in Vienna · ★4.72 · 2 bedrooms · 2 beds · 1 bath,1384125,Christian,,Leopoldstadt,48.21992,16.37994,Entire home/apt,86,2,171,2023-08-12,1.19,1,137,25,
461361,Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 bath,2293155,Lee,,Josefstadt,48.21189,16.34926,Entire home/apt,50,3,166,2023-09-01,1.21,1,170,31,
271754,Rental unit in Vienna · ★4.92 · 1 bedroom · 1 bed · 1 bath,1266494,Judith,,Leopoldstadt,48.21928,16.38104,Entire home/apt,58,3,108,2023-08-30,0.78,2,163,21,
271872,Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 2 baths,1422776,Isabella Tabibian,,Margareten,48.18747,16.34898,Entire home/apt,112,4,8,2023-05-02,0.06,1,365,2,
465925,Rental unit in Vienna · ★4.58 · 2 bedrooms · 7 beds · 1 bath,2313955,Marina,,Mariahilf,48.19156,16.33941,Entire home/apt,120,2,46,2023-04-16,0.49,6,354,7,
272589,Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 bath,1426583,Cecilia & Walfried,,Wieden,48.19916,16.36657,Entire home/apt,139,14,7,2019-12-11,0.11,7,270,0,
468889,Rental unit in Vienna · ★4.39 · 1 bedroom · 2 beds · 1 bath,2327667,Andreas,,Brigittenau,48.23536,16.38022,Entire home/apt,64,2,53,2023-07-27,0.39,5,56,9,
275667,Rental unit in Vienna · ★4.75 · 1 bedroom · 1 bed · 1 bath,1440944,Stephanie,,Wieden,48.19204,16.36592,Entire home/apt,66,2,225,2023-08-10,1.64,4,315,39,
481895,Rental unit in Vienna · ★4.70 · 1 bedroom · 1 bed · 1 bath,2150005,Ramona & Alex,,Landstra§e,48.19306,16.38798,Entire home/apt,54,5,517,2023-09-03,3.76,4,204,54,
275668,Rental unit in Vienna · ★4.69 · 1 bedroom · 1 bed · 1 bath,1440944,Stephanie,,Wieden,48.19328,16.36755,Entire home/apt,67,2,256,2023-08-22,1.91,4,323,44,
289195,Rental unit in Vienna · ★4.85 · 2 bedrooms · 7 beds · 3 baths,685572,Christoph,,Wieden,48.19762,16.37036,Entire home/apt,268,3,40,2023-06-09,0.43,6,126,4,
482052,Rental unit in Vienna · ★4.57 · 1 bedroom · 2 beds · 1 bath,13336646,Hotel Klimt,,Penzing,48.19676,16.28851,Entire home/apt,123,1,9,2022-09-25,0.07,8,362,1,
291635,Rental unit in Vienna · ★4.89 · 1 bedroom · 1 bed · 1 bath,1510847,Katerina,,Brigittenau,48.23429,16.36409,Entire home/apt,52,3,295,2023-08-01,2.14,4,213,16,
482090,Rental unit in Vienna · 1 bedroom · 1 bed,2387347,Manuela,,Rudolfsheim-Fnfhaus,48.1969,16.31793,Private room,40,14,0,,,1,0,0,
488723,Rental unit in Vienna · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,2418146,Gisella,,Brigittenau,48.22875,16.37405,Entire home/apt,77,20,123,2023-08-10,0.97,18,267,8,
293442,Rental unit in Vienna · ★4.63 · Studio · 4 beds · 1 bath,246743902,Vienna,,Leopoldstadt,48.21699,16.3839,Entire home/apt,91,5,181,2023-08-28,1.27,5,265,22,
492555,Home in Vienna · ★4.55 · 1 bedroom · 2 beds · 1.5 baths,2271419,Nura,,Favoriten,48.17297,16.37754,Entire home/apt,59,1,49,2023-05-04,0.36,1,361,4,
293667,Rental unit in Vienna · ★4.52 · Studio · 2 beds · 1 bath,1100216,Belinda,,Margareten,48.18461,16.35976,Entire home/apt,45,5,301,2023-07-29,2.13,2,250,25,
532596,Rental unit in Vienna · ★4.77 · 2 bedrooms · 2 beds · 1 bath,442912,Anna,,Innere Stadt,48.20845,16.37722,Entire home/apt,270,28,119,2023-06-20,0.89,2,160,4,
298176,Rental unit in Vienna · ★4.49 · 1 bedroom · 4 beds · 1 bath,1537009,Ingeborg,,Brigittenau,48.23456,16.37933,Entire home/apt,65,2,81,2023-08-27,0.57,1,17,12,
543409,Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 private bath,2671443,Christoph,,Landstra§e,48.201212863382594,16.38976215094053,Private room,85,1,197,2023-07-09,1.66,1,327,17,
300702,Rental unit in Vienna · ★4.67 · 2 bedrooms · 2 beds · 1.5 baths,1547126,Anna & Vladan,,Innere Stadt,48.20994,16.3787,Entire home/apt,229,1,487,2023-08-24,3.45,55,305,16,
545094,Rental unit in Vienna · ★4.32 · Studio · 1 bed · 1.5 baths,2670197,Christian,,Ottakring,48.21517,16.31864,Entire home/apt,48,5,107,2023-08-24,0.80,2,0,10,
302499,Serviced apartment in Vienna · ★4.64 · 1 bedroom · 2 beds · 1 bath,1557725,Kurt & Sabine,,Landstra§e,48.19779,16.40265,Entire home/apt,69,4,14,2023-08-03,0.10,4,192,8,
560952,Rental unit in Vienna · ★4.39 · 1 bedroom · 1 bed · 1.5 baths,2757977,Ursula,,Josefstadt,48.20879,16.34266,Private room,56,1,194,2023-09-06,1.46,1,326,39,
